TotalStageCount			100				
DropAccelarate			5				
SlideSpeed			3.5				
DropSpeed			3.5				
GameSpeed			1				
EatTime			0.33				
MoveTime			200				
Version			Pre-Alpha-0.1				
GetHeartInterval			1800				
BLOCKWIDTH			67.55				
BLOCKHEIGHT			78				
BLOCKSCALE			65.0				
ItemPriceArray			70|50|70|70|90|50|50|70|70|70				
ItemUnLockArray			5|11|15|20|5|15|20|20|1|1				
StageTypeArray			1|1|1|2|2|2|2|2|3|3|2|2|3|2|3|2|2|0|2|3|2|3|2|3|0|2|2|3|2|0|2|3|2|1|2|2|3|2|2|3|0|3|2|2|1|2|3|2|2|3|2|2|2|3|3|2|3|2|0|3|2|3|2|0|2|3|2|2|2|2|2|3|2|3|2|3|2|3|2|0|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4				
version							
