Target			2				
StepLimit			40				
TimeLimit			0				
ColorCount			7				
Nut1Count			3				
Nut2Count			3				
NutInitCount			1				
NutMaxCount			3				
NutStep			10				
PlusInitCount			0				
PlusMaxCount			0				
PlusStartTime			0				
PlusStep			0				
Seed			0				
NewFormat			1				
StarScore			31000,41000,51000,				
GridDataArray			9,9,9,9,9,9,9,9,9,1,65,65,65,1,65,65,65,1,1,65,65,1,1,1,65,65,1,1,65,1,1,1,1,1,65,1,1,1,1,1,1,1,1,1,1,1,65,1,1,1,1,1,65,1,1,65,65,1,1,1,65,65,1,1,65,65,65,1,65,65,65,1,1,1,1,1,1,1,1,1,1,				
PortalArray							
